0,1,2,3,4,5,6,7,8,9,lenfol,fstat
0.6738504,0.44710672,-0.5124772,0.057319313,-0.026311442,-0.56602955,0.81076705,-0.36574462,-0.0681379,-0.015217637,1.3599097,1
-0.039596464,-0.7655213,0.24304585,0.9867679,-0.050183307,-0.78387976,0.6927699,0.2848031,0.22176562,0.19249298,2.8267193,0
0.82123154,-0.9762914,0.9684264,-0.89908,0.8769738,-0.8564377,-0.47677523,-0.50681067,0.52780354,-0.4311042,2.8267193,0
0.30902195,-0.4856656,-0.6066466,0.42327273,-0.24568051,0.9933107,0.0495468,0.032117724,0.5177026,0.83967173,2.8267193,0
0.77504367,-0.73429996,-0.8786994,-0.38417113,-0.079143085,0.930337,-0.515594,0.8095624,-0.9662574,-0.36109033,2.8267193,0
-0.12806435,-0.85457295,-0.815665,-0.16918454,-0.62464803,-0.67603564,-0.61026204,-0.37790403,0.34176338,-0.23933095,2.8267193,0
-0.26875946,-0.09167796,-0.22152689,0.5496561,0.3365646,-0.29113626,-0.014514249,-0.05057126,0.96171415,-0.15221682,2.8267193,0
-0.20410757,0.30821764,0.34673035,0.2260732,0.4013885,0.17699185,0.31127155,-0.43679097,0.66397995,0.9707792,1.0652081,1
0.922327,0.23500182,0.7562475,-0.8266788,-0.18852068,-0.33901578,-0.12494108,-0.25061715,0.32107678,-0.805237,0.5521138,1
0.7337604,0.28187054,0.2924338,0.43017748,0.78183275,-0.61114216,0.71771824,0.9832718,-0.1316763,0.83385366,0.89429265,1
0.009616834,0.52000016,0.8753816,0.099203795,0.0040641916,0.36230293,-0.32892886,-0.9819964,0.7288308,-0.956776,2.1821568,1
-0.709778,0.6050231,0.9658782,-0.39872807,0.3589953,0.695907,-0.68533176,0.6320659,-0.8761598,0.60674226,1.9075904,1
0.8266279,-0.17397484,-0.15414287,0.76972634,-0.8585448,-0.99434614,-0.691075,-0.2353158,0.5335231,0.11772983,1.9468638,1
-0.14559379,-0.056003153,-0.5675206,-0.7496969,0.8942441,0.75866723,0.8241832,-0.6079461,0.3830155,0.5859123,2.8267193,0
